msno,city,bd,gender,registered_via,registration_init_time
p/QIVppjJwbN7C3HFghcYcLWMXSQFnJ1EUqVrRyYHxw=,1,0,,7,20161228
3wTHKk60cc3Idqq9E+poFFYc4D2eiO9tCYTMbnxMAEo=,1,30,female,4,20170108
fQXUnvAMF11qP113It7W7NusOt6YSpGOJSeCDpx6Voo=,1,0,,7,20170126
rl39hydmEIEUmvViRXe2eohgYltmof3FJvq8Ey8gYKI=,13,53,male,9,20060803
AHL0t9VNXIdHKMukO5cDWNRtfYXtRQlbvaNKKDaqSdY=,13,30,female,9,20070416
N72mHzcT8BlmB1yGfBJS4sHVSdPu6Ggc/9rrtlat43Y=,12,24,male,9,20070513
SvV5+TiFoIHcD+50NMIxTfGVvrJf1Pj8uHFY4uerpNM=,13,29,male,9,20070619
k3uqQgRwA5MBXqFNUtLOxFMhwkQxnkzkOR2X4y5EpJI=,1,0,,7,20140401
rRlmCkOab39o8jMdCDINOaGtgWw7l9Pj7Jodaw3nqZU=,13,20,male,9,20140402
IZU0XOb85lLfuyJxOFLZnb4PCA6ZCJkA8aR24OoJI0I=,1,0,,7,20130210
M2h7DJEmWYaSVp8ZLCJpJ6imkqMGjbKvgEf4iYTXnD4=,1,0,,7,20101216
5xX/7gP9mYEIdk6KAVlle3mPSi5jBOVZMHKjIwm1cmk=,15,28,male,9,20110208
48QAk6hc1POVqDvQD5j9rvryzty/vTFIKbAyiUQLOMg=,5,42,male,9,20110326
hJGCA3FyDQYr7YQJJlo/MwS/UBV9SK01onSFqGX3xsU=,1,0,,7,20110401
AZV7gyvPkdmEz0hXYEMjQpz+5z9TAUEU8w6GXzQa8c8=,1,0,,7,20110412
FpsFkKkGxI5WjCDXQC9+6FJv5wuPz6qtv/x+Pvf+OgI=,1,0,,4,20161225
ev0YDJdBcFu4Nr7ReBNXRhn591bjV5lPp7RPZY1XcMY=,15,34,male,9,20100629
FjDbX1woQazoWCxlqyH+3u6t45IiI7SH3l0EcD0EI/k=,4,27,male,9,20101222
cIdhttBtJuw8+m2mCur+XuzWr18cETlJt+hwUR4VK/I=,14,36,,7,20110201
4XifKZCCBGofAad/D04z5R+x56pW6QWUf0HlWBpTyvE=,10,29,female,7,20120323
kdAs8PrQ50e2Ya4uVeW8H054GwXaShVxwde7ovbmCV8=,4,21,female,3,20120511
sZKL20+yx96aexSV1hQtbKM8hUrEmev7lRIl6GXO1Wg=,15,0,,3,20131130
tQV3UcCrUuanfvsiLMU2GlYvuxWEkNe1IABAtqXP2ng=,1,0,,7,20130927
dcWVHByqJfEZl8PJ+Ha4gJb5NXq7EufNq+mbnKdSPxs=,5,0,,3,20130430
UMIQAlYl+YRJ+6YrRfIYOzKpYidQqOCme8DQyFOQl1c=,1,0,,7,20130515
BZ7XFvXfE3SWBc4GqXrAfsHzjLgUU/aIiHr4EhfChPw=,6,0,,3,20130523
vGgaahnACmjx3cfZfGoTLoR+2s+ZBRLVerGJIQhAOj4=,6,23,male,7,20130616
MHRcriWPTB7Uv2sK1nar0LBFRaGv7dePzNI4fjH6tvo=,5,0,,3,20130617
9Z+sBc7F/GGEa55FYB/D/At/xZ2B77UOkj7ScHbMqqE=,1,0,,7,20130628
vp2VKRJc/VD7v7+AY0RarVxCsey6rrf1FKIFae1qKW0=,5,49,female,9,20150815
F61PlxK3N58Om1g5gyNdRfuiYvXQA0MQNwQqbZfyE+A=,15,39,female,9,20101017
gbtAKFxLWqG5dKASeHOsGGbDaWQHq81cxSp16E8J2IU=,4,50,male,7,20101126
s3pb0gkM30afS9E/E8TxsurXQZVtZPRhUSFieUgLfVc=,1,0,,7,20131009
DaI2W50ZT03F12EciswX4gnmIksR54Cs9rRPHY29kZk=,4,27,female,3,20121005
ir17+sfuyzizkzbbz54wETUkF3eu8/l/32OFfyWTr44=,15,0,,3,20121031
HjOAh2Ceuaf8bQF6c3ck6jnkHKA7hCSznb6xcrjUUvg=,14,47,male,9,20060819
p67rDrkulZ6FtaOFr7QYQ+cEy5EAE3C+vTKyLCXfD8Y=,13,23,female,9,20061203
nguAhXDVmcIku3tm0i81+l54IqoR0LovZZFw836/EKk=,13,49,female,9,20070507
g0CCY+NiTIEGAfhn+QCjextnmYzqSbdCViR3fChe+YM=,12,0,female,9,20090919
v8LunLQROL11WD473JXCroUg/3Qhlndy2sQwkmEOBvY=,6,38,,3,20140516
gkV+wHgNXyh1WiFBdZFJr5wco1PMUcHW/B9Gp3lUdO4=,1,0,,7,20161226
8b4N9PyfD4Tpz+U25WOJc9igcAd+qovVBNrzjSEhZpI=,13,29,female,9,20161229
LKOFMPivGC/Dn5ojah3pY9N+B2s+x3TVlQDK6C8UtP0=,1,0,,7,20161231
6E0S5E/aYR6JjZtdZS99oE55ta29x+d8zPu9/UO+lgw=,1,0,,4,20170101
Gao8SFTtJaFy6rEbncv6sWhNuMnHKwlrRpHmVvJ2dtA=,1,0,,7,20170103
BrOX6giNE49pJ4ZQuBe3mXEIbI5GeVRhjHv+AODFYQI=,4,28,male,3,20170108
mTsW0HtlYzACkUTdMMtmzT3EwwpaAz5CE1CQFHxh/Ds=,1,0,,4,20170122
lMOSl63qKGK/85r8U9oHm5dGSyb5uqQnusSRoJ/ilUQ=,1,0,,7,20170204
Qus0Qq0fjaEfx26the/qgnGgdReeKT7E47AqwfjeRB4=,13,33,male,7,20101005
6UPZsJUCc3R2bK529Sb59Wh1VvGHuerFTQag/uqV3fs=,6,21,male,3,20150826
m3NU/JmYQMYUCPVvt9ioWBGarCGt1I8lgD7l+fRjgiQ=,13,26,female,3,20150903
RUKb+sMzuzECIcwKNeCz6TPZXiH+EmWvRVNXVie+HXM=,1,0,,7,20161231
yyhtKLHr+IC6vVJMiUCReSJ4kiDUE7UtKlxEqYHAkkI=,1,0,,7,20170116
TWrqEpm0U75ZWW6CHzdp3hVDE7WCQLBX4czgXMvyldY=,13,19,female,9,20140501
pv8wTGwVGIapVEFx3lJZMDMg/qgqj0DnukI47kbyY88=,1,0,,7,20140518
dQZmH82y3FiblZjHmUrM1WeepV32oW7PLabZrkHjOO4=,1,0,,7,20140602
SrSYj3MD0FUsYoSsWpBRwFGqnpRwmlHnDC/eiNs7rAw=,1,0,,7,20140619
GTb8w3H+JkjbtQZVi603e9+19u5LepfsD22BA8UUofY=,21,27,male,7,20161229
Z6L8eWxb90Qlm9ISTug8thgxCppGhz/S9cFvL5s8OmY=,1,0,,4,20170119
iPSXGXVY89vBAli8K6x9lapspTth/mbyckhyFG3XptA=,1,24,male,4,20170122
8xVXjc/C+G6SgvnEJBtsjpG/h1QzZAaGO93LJjw4NLw=,1,0,,7,20161224
eM4cppp9ncdhHnaCOQWrAE2blm0It0xia7aIF1UeNJ4=,1,0,,4,20170201
rz7QsdEtEseermB+mCBZItZxcSKsFKKtsz7AT1PS2Tk=,1,0,,7,20170213
qwsI4kYqlSFMK22Bv2fnb1y7ZEft3LWZ6H3UXqjK/Sg=,1,0,,7,20170112
UktFE0ES8q+zLk4VWjPolOCEsSW0J4DMPpmqnhTfhe8=,1,0,,7,20170201
ALN3KW+GsabYGTKEIQY6zasj3iwOoOn2eJN+46ivLo8=,5,28,female,3,20130711
Rh4kEZT9ecWwaznJd5v/XB2XAdGzh7M4ODacqfwjJVo=,1,0,,9,20141029
jMjnojtI3e6bFg8o3VJ6WMTe3yDDy1Z8aq0r+PAYNQI=,15,26,female,9,20071009
6QMIcGOkZ7dMVSOwOeHe62t5sjo5vH7Vftx4sm7ZvWo=,13,29,male,9,20071019
MR3//k5K6wLYlNgCmiEiyngyx9pyT3ieVeGUyv1T3/E=,5,19,male,3,20150829
e/W2DrpUBjJZRl5kd8xYko2KYqOzo7lBLfcjJdm18sA=,1,0,,7,20140618
69br3BFswhIhnOXSsdXm/Q6LHbEVOgIaQC2q3YcNzbk=,1,0,,7,20140621
lxfHgYEeYYl2D+Yyp39vjEYpzwkOGtbMZpji2IfFJJw=,1,0,,7,20141212
Pj4bVoXmLNdvKnY0rTMXfY5uFpGLFMfXVACQ1pUOYuU=,13,41,female,3,20120911
CWf0k1RlNIYOhfzpqasZqNvvfTZXnPH9LYhyRZRDCWs=,14,19,female,7,20160822
wr0IH/O2Jdjeo08ri1zuQ0EbwS4ja3GRTX81M1xSOts=,1,0,,7,20121228
QsZ/+Z3cjpUO0hd+MEgWqpegIh9NYx2C92hhKLyvZr0=,1,0,,3,20130105
+pNIl//8N6cCwFnbenGW+BSgCfqFXZLCnR1F5bWTUsg=,5,0,female,9,20051002
4zXnjT86O2p5XCtJPsL3BKOs4kIEt5PDbldPZcuViyc=,15,30,male,9,20110623
SksagsHWe9L0G/97YjxVFbnIl3SE0p39k5PaqpHAEx0=,22,21,male,9,20110720
hvrLqzwKRXruiiQxrUcfcoR+8Yh2GT9vGq39SnoHMUM=,18,43,female,9,20070715
HJyA8aP5EzH3mc/EthbLb4yQNQaJJ11I/q/pOAqyAqs=,13,31,male,9,20071218
+xDZGhoTnctmhFwcDL3LDNJWU7AYmXRIxElr1IcMMtk=,1,0,,7,20161228
bAP/GIyOooQvN2OzRjThHy+PemncyGTJgVpl71j4Ft8=,1,0,,7,20170101
e3xp4uylZknYSc3qQ8IU8wwkhV/fPBCWaqIU+GMK06w=,13,26,female,4,20170130
wM2J8Mwy/xBizrg7RYMCT6hc14i9vMjb3qUublik2R0=,7,43,female,7,20100428
M4qym4AMldPj6p12+2w9a0N6oP8f6v47lIgkHWxE7Fs=,1,0,,7,20150112
O0nDK9u2RjeeNnsFnDMkVb0EYPOc4IwVWVTOdzZ3hRs=,1,0,,7,20170212
XZFDwAy6p7fe6Ods+kotYU6ZlyxeyogBlqXzuLpbE7E=,1,0,,7,20140318
/n9h0j+XLC+29Vm07yu1kYOCGNkbD75MLJBOAMO4okA=,13,29,female,9,20040729
LecRXfwP/ZBg9CCBD6CqzyZNkAY4x3cm/5bd1uNapsg=,9,37,male,9,20040730
xLygzQQqhEcdwdb5HmO+5Q0/ev4lex1BFt+wXBisg18=,5,32,male,9,20041115
2rr46LMAMUdpHnLc+w3nCkmfD5SoGwxuWgSb/xTg/zY=,1,0,,7,20160113
rbVG8oqpST2pYSRkOicTcrBpnpAq34XyfwM/KscajEw=,6,30,female,9,20151004
VWOINmj4gg5P2zV5LpSiK6/xX+5W4mR4UbBNNt9ckHQ=,1,0,,7,20151013
HieBEQpNYXZ8qjL5dQ1pzq5ZYOO1Ike733jcSe6mCGY=,1,0,,7,20120201
9f6v9h+rJMZawEWbGKYtUuxhwRmWxLsMVs/Hus2CPE8=,1,0,,7,20120509
N/bINnb7b56ZfwnlaWYGsKPmaK1enfGUhDwGR66lWSc=,4,22,male,7,20150105
MUibMpJO2tH82WKUEt9MxSBCXziTx7iIib+tlF2d7kk=,1,0,,4,20161204
R2hrXS6H9zq8DMfLRxL7C0cFvUnrspVBKA+D4Vj1/Dg=,22,19,male,9,20090706
GHpTEuDfnhZFJoSMLxwk0at9dufV2G45Ok17kRJfF3Y=,15,16,male,3,20140615
m5K2vq14EEZI3HnoIjemRi9XlCnSzPpWGgaJuRPZ+GI=,1,0,,7,20140620
j/X6TZFO+4KGNb3iwJo+2dyWRs7XOHrvaTt+au5O+QM=,1,0,,7,20170115
Nk7R3lA2o2w1p6lOJ7PdUkP/IIu2+Me0l24GNuNvv3Q=,5,25,male,9,20060224
7dePanN9SC9B9Pz/2MOSvSsMBp2W+aUGfQMd5xyMWSk=,14,32,female,9,20060225
J9fnEbXiF3BNjEjROTeBcoVoD7K1Iz9pJwqmqVfIDqc=,14,26,female,9,20060228
psaK79uFooBdrqY18TVCMHs0XFWLlF4Zs2j/0MhTCok=,1,0,,13,20161230
JVZOp5EI0j51Vk0O2QCj9enN7q6W448OXJVJdRO5Y2A=,1,0,,13,20170103
u2escG2KUi6luKjGVpYi1RJSxj1TWLjRgEoRXXjghg4=,4,27,female,7,20170205
w+Lx/1KB/JXoKcoBUjwKRCuSH8sPSQEHGxXXgsAaQhA=,1,0,,7,20170206
7v35HDt5iq3HY+uQXjxT3LN/LzrXeYWXgQTef/tIh0k=,1,0,,7,20161115
piwIylpZz61vaXn1N+Eh+onwPOcKObc4jhXmjIimobs=,1,0,,7,20161117
CuxjHn6OSwi+ly7eck8fxU6XzObQipKnXxTsSRtO26I=,1,0,,7,20161124
IlIIWhVHcA7dKFj7OKigsH7o0BlrX42go0j5B2MdqGY=,1,0,,7,20161126
4gJG6xkqgzUHqKV+NzmBzOEFUUWjTV0EZxKj2SJ+3Dw=,1,0,,7,20161220
x9pdWLdXVk23yIdXGP6DrhQdZQLQ0NS2YMG0qyk0lQw=,13,29,male,9,20090228
twe8n/WHdy9gc0XHshqSRvUTbKbUx8qBnna5zbt7jmk=,1,0,,7,20160912
SlQEFsP8unoHeCV5naZtlhd9klqGJyTkYXaudM1ls1s=,1,0,,13,20160918
yIbCjAWO7tw+ciZP83tD76nYkNScPtH6XsQVoVADkbY=,1,0,,4,20161113
gf1AIevzvtVHACz8LXmO9SkDfl0oV1483g6ieBBnEbc=,10,17,male,4,20161118
n7T6VdT62QqoPhOGPcV41nKnD+ydWtn4ZhhZrEQjU2c=,1,0,,7,20161119
eLiBeBIywz2hyUbaDAMFB9A3w2DyWZGGeGTXdEdlxzI=,1,0,,7,20161208
ejJVi7renypIOpwMr6Dh9AnaSgQoVnwr+t9XetjYkxY=,1,0,,7,20161211
1ydMe2ZcmA6yyXW7hlasoyE//OGS8ZDYRK+x4qH1GjM=,1,0,,4,20170202
txRU4xcYAe7FGhEiPOi/YrqzZLMlTZTLZ3RUXIrvIQA=,15,38,female,7,20170206
k3yKKsru6ste4R86cxZCq9bAomIDLn+oUUVbCJa1Rr8=,4,34,male,9,20070407
YKlZNtOy7jgvern4PO2H2sm2pb9VOJ5MNzqYk3cP94s=,15,34,male,9,20071230
ysNT4VPtuJyWdMqbA7040wDVKSDH52HjtBys/cRBbdU=,13,29,male,7,20110613
qqNs/4n3rrTxtzReCSmSE9+VMmO7PjJLX3RIX0kCrrM=,13,36,female,3,20130303
IES44JjQMgWsk2/iS4mdcBzy6zsmGDt+1Ti/MW+yoUw=,13,34,male,7,20130315
UHF+0S0OrgT++C0eLuqr7GXvVDlZmAZpmmqBbxz9HJc=,1,0,,7,20151110
P9WU/SJKA0XARWL6rCS890ZjamMfHnNcOeMLLiB3IZg=,13,29,male,7,20151115
pI4CvkC1vjsDbvI+kgCgLB5dQo6wi1wN51HeWqVuM2g=,9,27,female,3,20121014
4ypzJ5oZYe0rDWu9/Pwm1d7VsmPzXlfLhJZvtFTcH28=,13,28,female,3,20121017
eZf3jMxblB7n3pW0su0IeWgTz6zutHMY4I00Wps0f10=,1,0,,7,20170122
sXjpAO0GVQ5785PFF9s4fOs8Zb6Wlm6+aVRp4CyoQcE=,1,0,,7,20170210
Xqi9tSuKu4T+isk6a8BodpbaUd4WzF8lgoZKrb3e0qA=,1,0,,7,20141126
CDbnAeK88g2OMwKjch0xBbSsRO9QySlVUn+kUwN8Uzc=,13,19,female,9,20141206
mPbNygyjt7IXl/yjZLp6fItFt/oa5yteuYQydrKSqbw=,10,27,male,4,20160825
2l+esur/6tQu5l7gWMDsq0KAcWI+D32PE0tXp+y1DnI=,15,0,,9,20160919
Bk+2yEd/0OzktMLw7YgNB8YWkdCwL4/P+xsH2RCi60A=,1,0,,13,20170209
IUco92kBptiEkDYTu7IsGbofCxvMRkV4+G3spslSFZs=,1,0,,7,20170211
kf86w+rL0Y7GwOhrVSztMZA8XNhBIvXrv/YkukLc1oo=,10,18,male,4,20170216
Cq/ThktNYeLQglhBOCKX/6SPTfl6isPLBkaVfwzJREI=,1,0,,7,20170126
hDbQvPtyDbrfw1Y2bRfqKFQJ/YhQ1HG3bsUntiR2PM0=,21,26,male,9,20070617
9t10+2oduxSWxcoi+Co2/UafpD3UwZQtr1yojJ/qkDQ=,14,39,male,9,20070704
icB9PgmAxtQhtrPirvEFCtVwpFTgRrb0rgfreljSxYk=,8,34,male,9,20071029
rWaITD1fsssXrTx+SxUKMgOAYbmWv92kLBF3JB2Ia5w=,1,0,,7,20170219
8GI7/luoKET//I2WEnj/1I+JnYvsw3fJzU/fIW8G1U8=,1,0,,7,20170225
+21gYP14zyqD+46qSJ8aGXNa4yeHnJ0E5fHjirBPd2k=,5,0,,9,20140731
PBWX+VgVQy4BvWwGry+YdNHQtKSieEJbWGXBTxt6uvo=,5,28,male,4,20170222
