msno,is_churn
t5rqTxCnG7s5VBgEfdkQCezv5KBK7+DMujNibYgylrs=,1
rkaObNY/ek5hQgF2iN4L3/hL8VeddrbbYCxIRUlOMXE=,1
oBoSd2nZBTLdItbYg2yvz+8sjwxWlyOzGssozPFDK/U=,1
Ez6hu1yIBM2yQXzJbZJoNwQU6aVupZUT0qTnHrg1ZHM=,1
tu+l5cn14wv2YAwWTi5m6I2UEinJ02JC/VOjsGIAsBk=,1
GzJ0zG8Ac+DPeDdWozhER0CQxUjxtlKLLoXQP2oxGfg=,1
5PgV76S6NXKBZmS7+BwCrWcuKF5cwChfVPljmGzu3rs=,1
LewDUaFSkHd9jPFtgCxgZS4u9ykbEpvNIUBxhLJqAD4=,1
D5fkwAFPqux/irfEVBbk/zEsQcJz8U7SHAN9BOPN8u8=,1
BLGSs+8eV7KxLulU/uifZbWC/RVpZjjf6VJ8f6AEHvE=,1
2tFAFc7enqFMHjVgbhrhx++ybGc73ItXKOe9KIRy7l8=,1
GB9XWQQuCn5rtaWHmlY6tzn8u5aq9WaONUTVbbAJpQ8=,1
cG1fK8a+9SN6Z/2ifwiE7YzrSlsGIOGcNxRBTUQTOsY=,1
en3YNU7pwf8OxqqPGWbPRKXbDIWyyqZwUwRxgYvSIJI=,1
MPuipcl1liWCwrB3+I2fYBFvNplTD/W0+Jeoc+81zS8=,1
P0FEpRt4rDpC0PMaqfeIbH7CnZhgQhKacnqFhvWOZyM=,1
ECDOyKXGcBhCwiEYuvoTPGcFTH1aKsrkMb3CdovIPcA=,1
OI0GVY05dzJyd/haA/JpdpUF0H1IVn1aIAeJc8OfiJA=,1
Bk5dX/iqE1E5lUTWnSEQoQdIrfJP/znPptdrjYJ2knA=,1
Kg0We81pd4au1ngYoSi5Tciwa1zKnnqmGIQVBQ7p1W8=,1
JRKB14J7mA2IZuughUt2F8Wrz5oFSXcYZ2V5yq5LAeU=,1
kn9lwtWe7bKej7o5FqEtphagMiKvThf3VfRe7mllods=,1
Pti8MW5wr0Ysdu0oMger8NQwOn+swxAmmVw3t/yK0oE=,1
4I31EIWvDrdA0mGQrRzrd9nkWD5Z6cBy4SWA/MIorAo=,1
H4Iu6D7S9j5BV1llD7qCiYZuIfWybai7f94W5lNsQvg=,1
s2gRQ8dqsgDUfb8s+nzuQUID15a+v3k/ZbGIPKSGC8Y=,1
