msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
+2HVGotjiE2ofWgVp37vLKGzJgBiUkdKRiBlf/Wji90=,41,30,99,99,1,20170331,20170430,0
+aRcuLAde9D1Pa5jh9feUYZO7Gr8Xzv8PFcoF2zwGkY=,41,30,99,99,1,20170307,20170407,0
/FvuMG77Xf9sspB8Sj7lCY5fbgKVdXTPTrnofFrnwuo=,39,30,149,149,1,20170228,20170403,0
/Nnml8Urt1ZKICxCR9Z0Hw4AEmYn3f97011Xotl9tUA=,41,30,99,99,1,20170318,20170418,0
/eX+JBWcgD2OSwM3NWZmec8KWXZNXbEfPJn/TuVAaL4=,41,30,99,99,1,20170317,20170417,0
/s5o0/Igi1Ww9yf8KoJUJ8H9M62unt6o0qCguy5f1UI=,41,30,99,99,1,20170317,20170417,0
0GNnan+HsRrrW48V1Dri2CytVqbZWo4WimogFq/F6SY=,41,30,99,99,1,20170331,20170430,0
0nFbxUaETzME3yMofBD+Ull1t+HrV0KhfJ7cZU+lw8s=,41,30,99,99,1,20170310,20170410,0
14X45sNY8jpdMWvxEfZGAB4Evq+1VkOfK+Pp+86DOfI=,41,30,99,99,1,20170303,20170403,0
24J9WI+DMWLfbayZaMOs8YG7B6aJ9av0qKhcEwouKCQ=,41,30,99,99,1,20170318,20170418,0
2bs7Mtwl5SWxHMyPrh5R92h6S53B8UHVZ8wRy3YC2nM=,41,30,99,99,1,20170314,20170414,0
2qzRQgkFbkV53XcdyB8qWT46XtwoCN72t/1e0616IYE=,41,30,99,99,1,20170305,20170405,0
4UVLmfcj6cYJMUeFvEBz0ZWM2PN6PX9qQjmcTH9HHMQ=,41,30,99,99,1,20170304,20170404,0
4ZHnSGm2DjWo5wu8WfXRJHx6hOXz6A756+Jrcwh8i5k=,41,30,99,99,1,20170305,20170405,0
4kSaZs6jhm04BJaoQ+TdoiCbBLaFRco/nqo+ku49ENc=,41,30,149,149,1,20170326,20170426,0
5mIyGqiIdBbrFLc7NCsLuzpIFZnhTxAuAJdxq6Pnpxw=,41,30,129,129,1,20170327,20170428,0
6OaGq5Z+4WO8cfAeP6qqdoE+91nAN33f2D+q/yBHd9s=,34,30,149,149,1,20170331,20170504,0
7h9zg8B0IzdpsoodSOk4ZlSaz4neZGpNS42gjY0zxMo=,41,30,99,99,1,20170319,20170419,0
7ubVaqVTzYKad9GLyCr5HFKHl1OTGjhJgeRS3Seim/I=,29,30,180,180,1,20170317,20170417,0
7zZpKyIN8HC+wnoaWacijbuOg3qTFu/R1maFYgt6sgc=,33,30,149,149,1,20170331,20170430,0
8NqDWYptHA2R7W2xkc+YkO8WurOAQg9W0D0yK2tqd0Y=,41,30,99,99,1,20170315,20170415,0
AFknwUxX57C+WfyDIcLANplhhFEza3xdsPxgznb2fIQ=,41,30,99,99,1,20170325,20170425,0
AuaCJ4pk6FTWJSgc1ApBj1tH50x1GjT9m8kSse88VVo=,39,30,149,149,1,20170228,20170410,0
DJhVyGBeGiCEblNHjIgiFzs9sFHPLL95mCNhXMMRobo=,41,30,99,99,1,20170314,20170414,0
EHm4AZVfQdBoG27szXUO8Di8j43e3vjBC8Bb5W3BWpM=,41,30,149,149,1,20150414,20170713,0
EHm4AZVfQdBoG27szXUO8Di8j43e3vjBC8Bb5W3BWpM=,41,30,149,149,1,20150614,20171013,0
EV4R/6uMmopIqxn4JdLwEWU5ZZTogJwck/HkcRmvaiM=,40,30,149,149,1,20170301,20170406,0
EmmlhKo6l4jwKpp+JyDHuaRQzvO1UsdLzN6ueIrNehY=,41,30,99,99,1,20170311,20170411,0
FZhN1erp9VvUa47pyIikRABqvQYNbpiPMYCOjEedZWc=,41,30,99,99,1,20170306,20170406,0
FkLVJnKm0CTorebwXs6Yh6MtzUusHSg9KgIz9azLH/s=,23,30,149,149,1,20170331,20170430,0
Hm/MkxhcKJVW8FPsm/8H2rtJhJRxAb/UJ3I3oylQTZE=,41,30,99,99,1,20170307,20170407,0
Hw8lmBaKR9RpFdMJY7gJI1vqM1tw+O6ipjbTgLHQmBQ=,41,30,99,99,1,20170326,20170428,0
HwXhMerxUQogkWij4pI+m9GtvTZ/jQcgh/uUsYbAt0w=,40,30,149,149,1,20170326,20170425,0
IBAQCEwRonsrCPCE3v2cumCeoqvoQos4MNaFfy1ZYQE=,41,30,149,149,1,20170309,20170409,0
IZ40CvRr/3TakjvKvnfcdT9dinreVV0Fa/9cbSSMWZs=,41,30,99,99,1,20170331,20170430,0
Iuj9gCVZs1RMQ/bjKXtb5D9fFknn/aWjXnygy3xUvIo=,41,30,149,119,1,20150611,20180618,0
JFrrS6UAcGQkBvVvCBJybtvLDb0AP2ZB+kiN5vAk0WY=,41,30,99,99,1,20170304,20170404,0
JMWf6o8BgmHGgsIgQ8XJ4Y7k3PJRM+oHHiclwZNejz8=,34,30,149,149,1,20170331,20170430,0
JRs2y3trWPrK0ciyeRzbvyOqbtRJLs23K4c7269g4Hg=,41,30,129,129,1,20170310,20170410,0
JXD+fodLvb/U4+ngnjWDCoA1eTNIz9Eqyb37NJKrMpY=,41,30,99,99,1,20170331,20170430,0
JzLdTD0mNMUakknvpH7vwlBeHibUrMXJ1tEEaCxDSEw=,41,30,99,99,1,20170307,20170407,0
LMWEuj1RZ7wLm0LmI54UNQe8EI3dCCGh3M5fjsI69AY=,41,30,99,99,1,20170306,20170306,1
N+0Zog6Ri+ONv8KuBaoWwF1wJ4mXl5nMET8eO2xgwWg=,41,30,99,99,1,20170327,20170427,0
Nk7R3lA2o2w1p6lOJ7PdUkP/IIu2+Me0l24GNuNvv3Q=,31,30,149,149,1,20170331,20170430,0
NoerkTL8e/4hn98RjaPoSYZY6ngwE0voGDT6TwIRXkI=,41,30,99,99,1,20170331,20170430,0
P4IUitBgt8oxexxPNLiahxxkN2tgYiKRcQmAPi+ggAo=,41,30,99,99,1,20170324,20170424,0
RM1sZUEjraLwHJiQNCuJ7tdH/HkwD2e31EK1yd6mtpg=,36,30,180,180,1,20170304,20170406,0
SfK/Siw+kmwbpIFsfLUMZCKNgR2WiID4gmoH+2YRCIA=,30,30,149,149,1,20170316,20170418,0
Ss0Xui2uXr3uFqo9kLlDopU286wrmw4Za4APgCi3VOY=,41,30,149,149,1,20170313,20170413,0
SwNtRFCNg+gZSHslAcSMpaR9nbc4v1uP414xVOyu16w=,41,30,149,149,1,20151211,20170612,0
TDccdfSKm2KlIzNRQiR639GaVvY1suCTztPf8xkKyTs=,41,30,99,99,1,20170318,20170418,0
TeS0g1ltnxIbQgUfifzkHlA4DyCM3jO7VMiJyuMVYqM=,37,30,149,149,1,20170320,20170419,0
VS25T5dJLFeY5qSyxQqxUbTX9WDuT7UZCzGvKSx1kBA=,38,30,149,149,0,20170327,20170426,0
VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,129,129,1,20150912,20171010,0
VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,149,149,1,20151011,20171211,0
XeERbVjymhMSn67AvHyqVuasZa5RL/HKSf8TzCcnYRI=,41,30,99,99,1,20170309,20170409,0
YU7zRw/225JUSg8cZE5gmZ40ifIVUW+MSWNJOfvqewQ=,39,30,149,149,1,20170331,20170504,0
YUbguddPl2bVZl5T2ATiZAugYwSC8/+zr1ICWhofe84=,38,30,149,149,0,20170313,20170412,0
Yqsispj44FbDKpZZH6jTt2yeFZKIdPQPJUdmUWtT6ck=,30,30,149,149,1,20170315,20170315,1
Zenp7pzktw99P5FD+Q5ZVwdaDfEJ4mthTZ54i6tvt7E=,40,30,149,149,1,20170327,20170426,0
